ID,RiskScore
0,33.14277771148089
1,57.55066630092996
2,30.565223862163066
3,31.813533417327804
4,35.459684268217224
5,73.11861022298649
6,31.043135353003834
7,27.814627900591134
8,31.81167230502996
9,62.14552770352917
10,52.16001814128451
11,29.167420893798706
12,48.31934520230005
13,37.65723847341046
14,52.610414604935826
15,63.03253865767465
16,26.873200823732404
17,27.000258674519202
18,67.67206011082601
19,57.773267675896335
20,76.33749321488531
21,31.48361274691071
22,65.49162439212617
23,35.785725983394514
24,55.26017831533484
25,30.217280164007633
26,33.74593757786418
27,29.66456984813911
28,55.84655427046552
29,76.71065767836633
30,32.2352321821374
31,64.61313061484307
32,33.140702132980294
33,30.559477569392456
34,36.80869409437087
35,34.40060418060514
36,67.90088051086961
37,56.887420080388935
38,46.65170867570004
39,68.32436480641394
40,64.72554733561024
41,58.129030979165925
42,75.91306832913384
43,28.434350803362832
44,46.88723543607841
45,29.5228602131006
46,35.12659137135255
47,71.07953261290729
48,30.78713535973546
49,35.36339626718046
50,61.95156154736003
51,58.78286861070897
52,52.799440971616335
53,34.15126811662877
54,31.37231723031718
55,33.96919837252332
56,74.38543288522163
57,38.33645588070734
58,42.498453102148275
59,58.30523894404837
60,73.80916352820708
61,51.18404464879474
62,28.45710990227731
63,80.65554963337983
64,29.645675865485273
65,32.36070951323878
66,57.810293890885816
67,63.59557022514196
68,37.93769893663445
69,64.74998141816522
70,39.060370982298764
71,41.09906056034538
72,49.472061725267885
73,64.40071862468673
74,56.89095224613304
75,62.176410978830035
76,67.04735596531543
77,26.923135145307228
78,50.330120737020884
79,61.763671952971976
80,68.29425063103885
81,59.30148626784562
82,58.11904449152384
83,36.3287484826243
84,69.50689669408115
85,71.23408977106331
86,59.594488286185445
87,26.784240405436037
88,55.746187454466494
89,75.93322728085795
90,31.157152859494175
91,59.89171627254018
92,34.60921459421532
93,30.202220595240263
94,38.877489803498236
95,37.092184869444225
96,35.337770085828296
97,64.6736587280723
98,33.19260820430546
99,61.687798674354326
100,34.11909877566893
101,33.23409696953732
102,70.8240306954712
103,71.71650201968302
104,30.20413625146587
105,83.6062984642069
106,69.55517971123061
107,70.00705972330292
108,35.94403430158383
109,75.62839647350563
110,49.73791905542419
111,64.71586976787808
112,79.89296045223709
113,69.38589665253944
114,64.6447741096911
115,34.92130993970736
116,72.79375798854305
117,57.20834044437794
118,38.53502597068983
119,46.403194724397466
120,31.291892347274867
121,73.56514914619214
122,31.058551824956695
123,58.46679236340443
124,33.024873635180974
125,67.1228541979378
126,22.371134920914017
127,28.409512372735406
128,34.662468011826284
129,76.9818949003299
130,29.94745509741381
131,66.3213069363847
132,72.61000345334496
133,77.88479308225108
134,26.713780408622426
135,36.01121941279442
136,25.375213162148555
137,34.27479328115631
138,35.78965687666618
